N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"68,800",100,-0.15%,100,"4,107,210","5,969,783",53.19,"9,420,898",13.13,17.07,
2,LG에너지솔루션,"491,000","4,000",+0.82%,500,"1,148,940","234,000",4.98,"244,932",83.29,5.75,
3,SK하이닉스,"117,300",800,+0.69%,"5,000","853,947","728,002",52.00,"2,922,681",-10.42,3.56,
4,삼성바이오로직스,"703,000","7,000",-0.99%,"2,500","500,353","71,174",10.26,"43,354",60.60,11.42,
5,POSCO홀딩스,"569,000","8,000",-1.39%,"5,000","481,210","84,571",28.18,"916,856",38.35,6.11,
6,삼성전자우,"55,000",800,-1.43%,100,"452,588","822,887",72.58,"1,196,052",10.50,N/A,
7,현대차,"191,500",400,-0.21%,"5,000","405,083","211,532",33.55,"319,180",5.55,9.36,
8,삼성SDI,"533,000","5,000",-0.93%,"5,000","366,515","68,765",48.46,"258,236",17.83,12.52,
9,LG화학,"517,000","8,000",-1.52%,"5,000","364,962","70,592",44.78,"247,822",27.04,6.95,
10,NAVER,"208,000","2,000",-0.95%,100,"341,222","164,049",47.17,"479,860",46.84,3.29,
11,기아,"80,200",400,+0.50%,"5,000","322,439","402,044",38.17,"582,394",4.37,14.57,
12,포스코퓨처엠,"396,000","2,000",-0.50%,500,"306,754","77,463",6.95,"412,905",249.06,4.87,
13,KB금융,"57,500",200,+0.35%,"5,000","232,019","403,511",72.79,"814,299",5.06,9.17,
14,현대모비스,"239,500","1,500",+0.63%,"5,000","225,813","94,285",38.17,"103,050",7.61,6.80,
15,셀트리온,"139,300","3,200",-2.25%,"1,000","203,939","146,403",19.55,"428,917",37.15,13.35,
16,카카오,"45,050",600,-1.31%,100,"200,212","444,421",25.77,"1,379,816",171.95,13.54,
17,삼성물산,"107,800",400,-0.37%,100,"200,068","185,592",18.70,"117,731",9.11,7.16,
18,신한지주,"37,450",50,-0.13%,"5,000","193,056","515,504",59.94,"652,427",4.34,9.70,
19,LG전자,"103,100",200,+0.19%,"5,000","168,721","163,648",29.20,"450,300",45.46,6.61,
20,SK이노베이션,"158,100",900,-0.57%,"5,000","146,188","92,466",23.37,"366,561",-17.78,8.49,
